game,grid,targetPosition,chitchat,role,message
2,0,26,,D,"Okay, this one, this one is, um, this one is a little complicated."
2,0,26,,D,There's a square on the top.
2,0,26,x,D,Um.
2,0,26,,D, And then at the bottom there's a parallelogram on the right and then kind of like a hook shape on the left made by like a triangle and a rectangle.
2,0,26,,D,It reminds me of like a can opener at the bottom.
2,0,27,,D," Okay, this is a house, but the rectangle is on the left side and there's an arrow at the top."
2,0,28,,D,"Okay, this one is there's a square at the top and then towards the right side and then a triangle on the left side upside down."
2,0,28,,D, And then there's like a big rectangle type thing slanted from the top right to the bottom left.
2,0,29,,D,"Okay, this one reminds me of a pillar or some type of tower."
2,0,29,,D,There's a rectangular base with like a triangle thing.
2,0,29,,M,"Oh, is that what it is?"
2,0,29,x,D,"Hey, hey, hey, hey."
2,0,30,,D, This one is like a person with their arms up.
2,0,30,,D,"There's a triangle on the top and then two, the main body is a big parallelogram and they have their hands, their arms up."
2,0,31,,D,"Okay, this one looks like another person riding an animal."
2,0,31,,D,The animal is facing the left.
2,0,31,,D, The person has a square head.
2,0,31,,D,The animal has a triangle head and a triangle tail.
2,0,32,,D,"Okay, this one has a square at the top and then also a triangle at the top on the right side, which is kind of detached."
2,0,32,,D, and then on towards the middle on the right side there's another detached triangle and the bottom left is a parallelogram it's kind of a weird shape
2,0,33,,D," Okay, this one reminds me of a totem pole."
2,0,33,,D,"It's just a pole and then two triangles stuck on the side, or two trapezoids stuck on the side."
2,0,34,,D,This one is someone diving down into water.
2,0,34,,D,"The top is two triangles, and then the"
2,0,34,,D, bottom is like a square head and two arm-like things.
2,0,35,,D,"Okay, this is rectangle at the bottom and then skinny rectangle going up on the left with a triangle on top."
2,0,36,,D," This one is just a symmetrical upside down trapezoid with two parallelograms on either side, kind of pointing inwards."
2,0,36,x,E,Sway.
2,0,36,x,E," I made a little oopsie in the middle, but that's okay."
2,0,36,x,E,Trigger happy.
2,0,36,,E,Great.
2,0,36,,E,Sounds good.
2,0,36,,E,Thank you.
2,0,36,,E,Yep.
2,1,1,x,D,"Hi, Tommy."
2,1,1,,D,"Okay, so it's like a horse, like, kneeling back."
2,1,1,,D,"Okay, a little diagram on the right."
2,1,1,,D,Bottom left corner.
2,1,1,,D,"The square is, like, in the middle up."
2,1,1,,D,"And then there's, like, two triangles separated that are, like, kneeling back."
2,1,1,,D,It's like a horse neighing.
2,1,1,,D,"Reigning, it's, like, on two hooves up in the air."
2,1,1,,D,"It's, like, two separate triangles."
2,1,1,,D,"One in the right- upper right corner, one in the lower right corner as well."
2,1,1,,D,"Trapezoid with a parallelogram of the body, with like, a rectangle going up."
2,1,1,x,M,No... Oh no...
2,1,1,x,M,I'll do better.
2,1,2,,D,"Okay, this is like a toilet."
2,1,2,,D,"Um, with like a square on the top, a diamond on the top."
2,1,2,,D,um like the seat is pointed to the left and there's like a little triangle like many triangles sticking out from the right side the base has like a rectangle with two triangles one small 
2,1,3,,D,um this is someone trying to do the splits upside down why
2,1,4,,D,"This one's the, uh, let's say a music note."
2,1,4,,D,"Square on the bottom, like a big rectangle on the bottom, and then a pole going up with a triangle on the very top."
2,1,5,,D,House with a rectangle on the right.
2,1,5,,D,Long rectangle on the right.
2,1,6,,D,"Okay, person with his arms out for triangles with the one on the right is attached, but the one on the left is still attached."
2,1,6,,D,"Square head, like two triangles sticking out from the sides, one is attached, the one on the right is attached, the one on the left is still intact."
2,1,6,,D,"Okay, and then the other one is..."
2,1,7,,D,This one is like a blob of person.
2,1,7,,D,It's a blob with a head.
2,1,7,,D,"With a square head, but the body's just one blob."
2,1,7,,D,"Like, one oval-y, oval-y blob."
2,1,7,x,D,"But, like, not..."
2,1,7,,D,"But, like, a triangle on the very right bottom."
2,1,7,x,M,Yeah.
2,1,7,x,D,Okay.
2,1,8,,D,"This one is, it's like the blob like we saw just now, except now there's a triangle on the very top and the bottom."
2,1,8,x,M,"Um, yeah."
2,1,9,,D,"Uh, horse riding."
2,1,9,,D,Riding a horse.
2,1,9,,D,Or riding an animal.
2,1,10,,D,Spaceship.
2,1,10,,D,Triangle on the right and the left and then triangle going up with a connection to a diamond at the very top.
2,1,10,,D,Very symmetrical.
2,1,10,,D,Very pleasing to look at.
2,1,11,,D,Handstand.
2,1,11,,D,The two feet are like very small triangles at the very top.
2,1,11,,D,"Uh, someone on like one hand."
2,1,11,,D,One parallelogram of the hand.
2,1,12,,D,Scuba diver.
2,1,12,,D,Two tiny little triangle feet.
2,1,13,,D,"Um, Scorpion."
2,1,13,,D,The three triangles at the very top with the parallel logo.
2,1,14,,D,"Um, someone, like the priest praying, like not praying, the one that's like extending his hands out to like give, like, yeah."
2,1,15,,D,Ice skater.
2,1,15,,D,"Um, foot is on the, point to the left."
2,1,15,,D,"Foot is on the, yeah, one foot is up in the air and then they're like two arms or triangles point to the left."
2,1,15,x,M,Yeah.
2,1,16,,D,"Okay, this one is the trapezoid in the bottom and then parallelogram stuck towards the middle."
2,1,17,,D,It's sort of a really weird shape.
2,1,17,,D,"Triangle at the top, triangle at the top left corner, triangle at the top right bottom."
2,1,17,,D,"I mean, bottom right corner."
2,1,17,,D,"And then in the middle, they're like a trapezoid and a parallelogram."
2,1,17,,M,"Trapezoid on the top, parallelogram on the bottom right."
2,1,17,,D,"Bottom right, parallelogram with a triangle."
2,1,17,,D,"Top left, trapezoid with a triangle."
2,1,17,,D,Goes from top left to bottom right.
2,1,17,,D,It's like a string of stinky little patterns.
2,1,17,,M,Top right.
2,1,17,,D,There's nothing in top right or bottom left.
2,1,17,,M,Top left.
2,1,17,x,D,Yeah.
2,1,18,,D,"Okay, and then this dancer with a, like, with a"
2,1,18,,D,triangle two triangles for feet uh one triangle is facing to the right one triangle facing down and then there's another triangle on the top that's like facing to the right with a trap yeah
2,1,18,x,M,Right.
2,1,18,x,D,Yeah.
2,2,1,,D,"Okay, this is the weird string of, uh, shapes going from the..."
2,2,2,,D,"Okay, priest with the arms open to the left."
2,2,2,x,M,Uh...
2,2,3,,D,Scorpion.
2,2,3,,D,Three points at the top.
2,2,4,,D,This one is upside down trapezoid.
2,2,4,,D,Two parallelograms.
2,2,5,,D,"Okay, this one is, the top is a square, and then the rest looks like a pillar, like the trapezoid base, a little thing sticking out on the right."
2,2,5,,D,"The base is like a rectangle, and then the, it's like a, like,"
2,2,5,,D,"a triangle at the, or like, trapezoid shape at the bottom, and then upside down trapezoid halfway through, and then a little pointy triangle nub on the right."
2,2,5,x,M,Okay.
2,2,5,x,M,I don't have time.
2,2,6,,D,"Ice skater, triangle, foot pointing out to the right, the two arms out."
2,2,7,,D,This one is like thick person with the two triangles pointing to the right with a square head.
2,2,7,,D,Like the foot is a triangle and then the arm is a triangle pointing to the right.
2,2,8,,D,House rectangle up on the right side.
2,2,9,,D,Person doing the splits.
2,2,9,,D,Square head.
2,2,9,,D,Trapezoid.
2,2,10,,D,This is a weird shape with the person with the arms and like the triangle on the right is not attached.
2,2,10,,D,And the triangle on the left is attached.
2,2,11,,D,Person riding a horse.
2,2,12,,D,"Oh, this is what you said the horse neighing was."
2,2,12,,D,The two triangles pointing to the right.
2,2,13,,D,um this is like the dancer what i said was a can opener at the bottom like two triangle legs 
2,2,14,,D,uh scuba diver going up
2,2,15,,D,spaceship satisfying 
2,2,16,,D,um this is the oval blob person with little triangles sticking out on the right bottom right
2,2,17,,D,"This is the rectangle face with the skinny rectangle on the left side, triangle on the top."
2,2,18,,D,"Handstand person, two triangles at the top."
2,2,18,x,M,Good.
2,2,18,x,D,Yeah.
2,2,18,x,M,Okay.
2,3,1,,D,"Okay, it's a dancer with a can opener leg."
2,3,2,,D,It's the person blob with the triangle- one triangle facing to the right.
2,3,3,,D,Satisfying
2,3,4,,D,Right arm detached and left arm attached.
2,3,5,,D,"A big rectangle, little rectangle, and little triangle to the left."
2,3,6,,D,Music note.
2,3,7,,D,scuba diver.
2,3,8,,D,Ice skater.
2,3,9,,D,Maying.
2,3,9,,D,Horse maying.
2,3,10,,D,Splits.
2,3,11,,D,Upside down line.
2,3,11,,D,Handstand.
2,3,12,,D,house rectangle on the right 
2,3,13,,D,a weird weird shape triangle on the top triangle on the bottom right as well top left to top bottom right weird shapes throughout trapozoid and the
2,3,13,x,M,Yeah.
2,3,14,,D,"Okay, the chunky dude with the two triangles facing to the right."
2,3,15,,D,"Priest, holding hands out."
2,3,16,,D,Then trapezoid upside down with parallelogram facing north.
2,3,17,,D,Bathroom.
2,3,17,,D,Toilet.
2,3,17,x,D,With the... Yeah.
2,3,18,,D,Scorpion.
2,3,18,x,M,Hey!
2,3,18,x,M,Nice.
2,3,18,x,D,Sounds good.
2,3,18,x,M,Thank you
2,4,1,,D,Horsey.
2,4,1,,D,Riding a horsey.
2,4,1,,D,Person riding a horsey.
2,4,2,,D,Patient.
2,4,3,,D,Handstand person.
2,4,3,,D,Two triangles on the top.
2,4,4,,D,Scorpion.
2,4,5,,D,Toilet.
2,4,6,,D,Upside down trapezoid.
2,4,6,,D,Two parallelograms.
2,4,7,,D,Ice skater.
2,4,8,,D,Triangle of right.
2,4,8,,D,Weird shape.
2,4,8,,D,Detached triangle on the right.
2,4,8,,D,Square head.
2,4,8,,D,Arms out.
2,4,9,,D,"Dancer, can opener bottom."
2,4,10,,D,Scuba diver.
2,4,11,,D,"Um, oval blob person, triangle bottom right."
2,4,12,,D,"Thick person, two triangles pointing to the right."
2,4,13,,D,House rectangle on the right.
2,4,14,,D,Music note.
2,4,15,,D,Person doing splits.
2,4,16,,D,Weird line of shapes.
2,4,17,,D,Horse neighing.
2,4,18,,D,"Priest, arms out to the left."
2,4,18,x,M,Woo!
2,4,18,x,D,Nice.
2,4,18,x,M,Yes.
2,5,1,,D,Scorpion.
2,5,2,,D,Dancer with the can opener.
2,5,3,,D,We'll try and go to the right.
2,5,5,,D,priest
2,5,6,,D,riding horse
2,5,7,,D,ice skating
2,5,9,,D,Detach right arm and attach left arm.
2,5,10,,D,Music note.
2,5,11,,D,handstand
2,5,12,,D,"Uh, Chunky Man."
2,5,13,,D,Splits.
2,5,15,,D,Weird shapes in a line.
2,5,16,,D,Spaceship.
2,5,17,,D,House.
2,5,18,,D,Scuba diver.
2,5,18,x,M,Sounds good.
2,6,1,,D,"Uh, can opener, dancer."
2,6,2,,D,Detached right arm.
2,6,3,,D,"Uh, oval blob, one right triangle, bottom right."
2,6,4,,D,Scorpion.
2,6,5,x,M,Oh!
2,6,5,,M,"Oh, man!"
2,6,5,,D,Chunky guy.
2,6,5,,D,Chunky guy.
2,6,5,,D,Thick guy.
2,6,5,,D,To the right.
2,6,6,,D,Handstand guy.
2,6,7,,D,Toilet.
2,6,8,,D,"Uh, splits."
2,6,8,,D,Upside down triangle.
2,6,9,,D,Priest arms wide to the left.
2,6,10,,D,Upside down trapezoid.
2,6,11,,D,Weird shapes in a line.
2,6,12,,D,Scuba diving.
2,6,13,,D,Music note.
2,6,14,,D,Ice skater.
2,6,15,,D,Riding horse.
2,6,16,,D,Spaceship.
2,6,17,,D,Horse name.
2,6,18,,D,House.
2,6,18,x,M,Woo!
2,6,18,x,D,Yay.
2,6,18,x,M,Yay.
2,6,18,x,D,Woo!
2,6,18,x,D,Let's go
2,7,1,,D," Okay, this one is kind of the logo on the very top, and then it's like a small skinny thing going down, and then in the very right, and then going to the right is like a square."
2,7,1,x,M,Yeah.
2,7,2,,D," Uh, this is like an animal with the front triangle bigger than the back triangle."
2,7,2,,D,"Like, front foot is bigger than the back foot."
2,7,2,x,M,Yeah.
2,7,2,x,D,Nice.
2,7,3,,D,"Okay, this is an upset dantrapazoid."
2,7,4,,D," Okay, this is two diamonds with a square on the top."
2,7,4,x,D,I'll hit country.
2,7,5,,D,spaceship
2,7,6,,D," Okay, other animal."
2,7,6,,D,Pellegrin for one of the front foot.
2,7,7,,D,House with a triangle to the left.
2,7,8,,D," Chunky man, chunky man with the two legs, two feet, two triangles."
2,7,9,,D,"Someone with two hands, two arms in the air."
2,7,9,,D,Parallelogram of the body.
2,7,10,,D," Um, person riding a horse."
2,7,10,,D,Because it's more like a dog.
2,7,10,,D,It's a little child riding a dog.
2,7,11,,D,Handstand.
2,7,12,,D, Dancer with the can opener.
2,7,13,,D,Cleared shapes going into line from the top left to the bottom right.
2,7,14,,D, Music note.
2,7,15,,D,"Oh, totem pole."
2,7,15,,M,Weird totem pole.
2,7,15,x,D,"Yeah, there you go."
2,7,16,,D," A person, like, sitting down in, like, a crouch position."
2,7,16,,M,Depresso Espresso.
2,7,17,,D,Splits.
2,7,18,,D,Creep.
2,7,19,,D, Scorpion.
2,7,20,,D,Blob with the triangle two into the right.
2,7,21,,D,okay this is like a rectangle going from the top left to the bottom right and then there's a triangle coming
2,7,21,x,M,yeah
2,7,22,,D,okay this one's a flamingo or swan
2,7,23,,D," Okay, person, like zombie kind of guy, one foot on the floor, one foot going to the left."
2,7,24,,D,"Okay, kneeling to the right with like a triangle outstretched and then a triangle, like two triangles to the right."
2,7,24,,D," Um, and like they're like kneeling, but then there's like a blob in the very bottom."
2,7,24,,D,It's like a triangle with a right- right angle on the bottom left.
2,7,24,x,M,Yeah.
2,7,25,,D,Toilet.
2,7,26,,D,horse neighing
2,7,27,,D,bunny bunny ears triangle body nice
2,7,28,,D,Ice skating
2,7,29,,D,Scuba diver
2,7,30,,D," Okay, this one is weird."
2,7,30,,D,Triangle with the right angle to the right.
2,7,30,,D,And then another triangle on top of that with a rectangle on top of that.
2,7,30,,D,And then another triangle on top of that with the right angle on the left.
2,7,30,,D,"And then a tiny little triangle on the... Oh, sorry."
2,7,30,x,D,That was a bad description.
2,7,31,,D,"Right arm detached, left arm attached."
2,7,32,,D, um the whole the like triangle like giving hands out to the right but then this time the parallelogram on the bottom instead of a triangle
2,7,33,,D," And this is like a floating person going to the sky with a triangle, upside down triangle on his butt."
2,7,33,,D,"And then a head, the square head."
2,7,33,,D,And then a rectangular body going from the bottom left corner to the upper right corner.
2,7,33,,M,Triangle.
2,7,33,x,D,Yeah.
2,7,34,,D, Riding horse.
2,7,35,x,D,How's our Kingo on the right?
2,7,36,,D,"Okay, this is like..."
2,7,36,,D, An upside down triangle on the bottom right corner.
2,7,36,,D,And then on top of that is another triangle.
2,7,36,x,E,"And then, yay."
2,7,36,x,E, Sounds good.
2,7,36,x,E,Thank you.
3,0,1,,D,his back is straight like a straight 90 degree angle
3,0,1,,M,is there like a square on the top that's his head diagonal almost the square
3,0,1,,D,it's like a perfect diamond head
3,0,1,,M,his one arm sticking out to the right
3,0,1,,D,yes
3,0,1,x,M, Okay.
3,0,2,,D,"It looks like another person who's, like, running really fast and pointing at somebody, but he's pointing to the left."
3,0,2,x,E,"Um, okay, wait, how do I go down with the buttons?"
3,0,2,x,E,"Ooh, I don't know."
3,0,2,x,E,What if I wanna go down?
3,0,2,x,E," I know left is one, right is two."
3,0,2,x,E,"Yeah, okay."
3,0,2,x,E,Select is three.
3,0,2,x,E,"Try four, maybe."
3,0,2,x,E,They said there's no down button.
3,0,2,x,E,Okay.
3,0,2,,D,Um... Um... His head's also a perfect diamond.
3,0,2,x,M,"Oh, oh, I see, I see."
3,0,2,x,M,"Okay, okay."
3,0,2,x,M,"Yeah, that's it."
3,0,2,x,M,Okay.
3,0,2,x,M,Okay.
3,0,3,,D," This one is like, it looks like a dog maybe?"
3,0,3,,D,And his tail is sticking straight out.
3,0,3,,D,He's looking to the left.
3,0,3,,M,Does he kind of look like a horse also?
3,0,3,,D,"Yeah, like a horse dog."
3,0,3,x,M,Okay.
3,0,3,x,M,Yay.
3,0,3,x,M,Okay.
3,0,4,,D," It's like, kind of like a crab, but like, I don't know, the top has three triangles, and then he's got like, one really long wag."
3,0,4,,D,It's weird.
3,0,4,,M,Does it kind of look like a flower?
3,0,4,,D,"Yes, it does."
3,0,4,,D,"But like, a flower with three petals."
3,0,4,,M,"Yeah, like a creepy flower."
3,0,4,x,D,Yeah.
3,0,4,x,M,Yeah.
3,0,5,,D, um this one is has like the biggest trapezoid out of all of them is it also kind of look like a crab yeah perfect um
3,0,5,x,D, This one...
3,0,6,,D,I would say looks like a snowman.
3,0,6,,D,Or a grenade.
3,0,6,,D,A snowman or a grenade?
3,0,6,,D,"Um... Like, it's got, like, two squares as, like, the snowman balls, and a square head."
3,0,6,x,M,"Oh, I see that."
3,0,6,x,D,Perfect.
3,0,7,,D," Okay, so if you were to take any one of these and wear it as a fake mustache, it would be the most convincing fake mustache."
3,0,7,,M,Most what mustache?
3,0,7,,D,"Like a fake mustache, like one of those you buy at like Party City and you wear it."
3,0,7,,D,It's like long and thin and
3,0,7,,D," They kind of look like sunglasses, maybe."
3,0,7,x,M,"Oh, wait."
3,0,7,x,M,"Okay, there's one that kind of might look like this."
3,0,7,x,D,"Yeah, you got it, you got it."
3,0,8,,D,"Okay, this one looks like an apostrophe."
3,0,8,,D,"Like a... Oh, or like a music note."
3,0,8,,D," No, no, no, not that one."
3,0,8,,D,"Like, uh, maybe a boomerang?"
3,0,8,,D,"Um, it's not the music note."
3,0,8,x,D,"Oh, oh, oh."
3,0,8,x,D,Um...
3,0,8,,D,"It's like a... Like, you could hold it."
3,0,8,,M,"Like, it looks like a... Like, like a gun, maybe?"
3,0,8,x,D,"Yeah, yeah, yeah."
3,0,8,x,D,"Yeah, you got it."
3,0,8,x,D,Okay.
3,0,9,,D,This one looks like a person.
3,0,9,,D," and he has, um, his two arms are like in the air and he's like, why me?"
3,0,9,,M,"Is this, does it kind of look like an angel?"
3,0,9,,D,Yes.
3,0,9,,M,Why me?
3,0,9,x,D,"Yeah, you got it."
3,0,9,x,D, Okay.
3,0,10,,D,This guy is the only one with a triangle head.
3,0,10,,D,"Looks like a person, kind of."
3,0,10,,D,"He's, like, maybe reading a book."
3,0,10,x,M,"Oh, I see that."
3,0,10,,M,"Like, bending over and reading a book."
3,0,10,x,D,Yeah.
3,0,10,x,D,"Alright, you got it."
3,0,11,,D," Alright, this is, it looks like a person riding like a horse, or a chihuahua."
3,0,11,,M,Is it a really tiny person?
3,0,11,,D,"It's a person, yeah, it's like a, he's got a little square head and a..."
3,0,11,,M,The person's only like two shapes?
3,0,11,,D,He's on like an animal though.
3,0,11,x,D,"Yeah, you got it."
3,0,11,x,D,"Yeah, yeah, yeah, yeah."
3,0,12,,D," Okay, so this is a person, he looks like a person, and he's holding, like, a really smelly towel and turning his head the other way with one leg in the air."
3,0,12,,D,"Like... Like, he just, like, cleaned something, and the towel smells, and he's like, uh, get this out of my face."
3,0,12,,D,Creep.
3,0,12,x,M, Um...
3,0,12,x,D,He's got...
3,0,12,,D,He looks like he has two legs.
3,0,12,,D,"And one of it's, like, tilted in the air."
3,0,12,x,M,Um...
3,0,12,x,D,He's got... Ooh.
3,0,12,x,M,"Is it, like..."
3,0,12,x,D,"He's got... Oh, no."
3,0,12,x,D,"Oh, no."
3,0,12,x,D,Okay.
3,0,12,x,D,He did not get that one.
3,0,12,x,D,But we'll get the next... We've been on a good streak here.
3,0,12,x,D,Okay.
3,0,12,x,D,This one...
3,0,13,,D," It kind of looks like the letter C, like tilted."
3,0,13,x,M,"Oh, does it?"
3,0,13,,D,"Yeah, it almost looks like a TV stand."
3,0,13,,D,"Sure, yeah, it's got like a spear heading out of it."
3,0,13,,D,I don't know how to pronounce it.
3,0,13,,D,"Like half of an arrow, and then the letter C. Yeah, yeah, yeah, okay."
3,0,13,x,D,"Yeah, you got it."
3,0,13,x,D, Okay.
3,0,14,,D,"So this is another person riding like an animal, but instead of..."
3,0,14,,D,"It's a different one, though."
3,0,14,,M,"Like, it's the... Is it still a square head?"
3,0,14,,D,"Square head, but he's, like, looking down."
3,0,14,,D,"He's, like, running... Yeah, yeah."
3,0,14,x,D,Yeah.
3,0,14,,D,He's not happy.
3,0,14,,D,He's not enjoying the ride.
3,0,14,x,D,No.
3,0,14,x,D,You got it.
3,0,14,x,D,You got it.
3,0,14,x,D,Okay.
3,0,14,x,D,This guy...
3,0,15,,D," He's, like, squatting with his, like, hands cuffed in front of him."
3,0,15,,D,"Maybe he's, like, begging."
3,0,15,,M,Does he have a square head?
3,0,15,,D,"He does, but it's, like, a diamond."
3,0,15,,D,Yeah.
3,0,15,,M,"Is his hands, like, a triangle jutting out?"
3,0,15,,D,"Yes, to the right, yeah."
3,0,15,x,D,Yeah.
3,0,15,x,D,You got it.
3,0,15,x,D, Okay.
3,0,15,x,D,Um...
3,0,15,x,D,So...
3,0,16,,D,"I would say it looks like another human, like another person."
3,0,16,x,D,Um... Who's...
3,0,16,,D,There's like one with like a weird upside-down triangle on the bottom.
3,0,16,,M, Does it kind of look like it's running in different directions?
3,0,16,,D,"Yeah, it's like arms are maybe crossed."
3,0,16,x,D,"Yeah, you got it."
3,0,16,x,D,Okay.
3,0,17,,D,"You know, this one's a tough one."
3,0,17,x,D,This one...
3,0,17,x,D,I would say...
3,0,17,,D," Maybe it looks like a person who's, like, vacuuming."
3,0,17,,D,"He's got, like, a square head, but it's somewhat tilted, but it's not a diamond, and it's not perfectly square."
3,0,17,,D,"He's got, like, a little..."
3,0,17,,M,Does it look like he's wearing a top hat?
3,0,17,x,D,"Oh, wait, no."
3,0,17,,D,"No, he's got a little triangle tail."
3,0,17,,D,The one with the tail that looks like a triangle.
3,0,17,,D,"And he's, like, looking left, maybe."
3,0,17,,D," Not looking right, but left."
3,0,17,x,D,What?
3,0,17,x,D,"Oh, that one."
3,0,18,,D,It's the house with the tree.
3,0,18,x,M,"Oh, okay."
3,0,18,x,D,"Oh, you got it."
3,0,18,x,D, Okay.
3,0,19,x,D,This one...
3,0,19,x,D,It's...
3,0,19,,D,"So, like, it's really tall."
3,0,19,x,D,It's not a...
3,0,19,,D,It doesn't look like a person or an animal.
3,0,19,,D,"It's tall, and it's got a square perfectly balancing on one of its corners."
3,0,19,x,D,"Like, the tip is... Yeah, you got it."
3,0,20,,D," Okay, it's the top hat, man."
3,0,20,x,D,Yeah.
3,0,21,,D,"Okay, this dude's just, like, chillin'."
3,0,21,,D,He's sittin' down.
3,0,21,,D,"He's, like, our legs now."
3,0,21,,D,"They're, like, they're kinda bent."
3,0,21,,M," Is this the one where, like, is there a triangle, like, an upside-down triangle resting, or is it, like, two wing triangles?"
3,0,21,x,D,Oh.
3,0,21,,D,I don't think either.
3,0,21,,D,"He's, like, sitting down, pondering life, looking at the sky."
3,0,21,,D,He's looking left.
3,0,21,,M,"Oh, like, under a tree?"
3,0,21,,D,"No, he's just, like, vibing."
3,0,21,,D,It's a dude sitting down.
3,0,21,,M, Is this anyone that's just like sitting on his butt?
3,0,21,x,D,"Yeah, you got it."
3,0,22,,D,"Alright, this is the house with the chimney on it."
3,0,22,x,D,"Oh yeah, you got it."
3,0,22,x,D," Uh, okay."
3,0,23,,D,"This one's like, it looks like a person, um, he's got like, okay, um, his arms are triangles, but like there's a weird gap in the middle of his torso."
3,0,23,x,D,"Yeah, you got it."
3,0,24,,D," Alright, this one's like a swan taking a shit."
3,0,24,,M,A swan?
3,0,24,,D,He's like... A ribby goose.
3,0,24,,D,"But like, it looks like a bird head."
3,0,24,x,M,"Oh, oh, I got it."
3,0,24,x,D,Okay.
3,0,24,x,D,"Alright, yeah, you got it."
3,0,24,x,D,Alright.
3,0,25,,D," This is a guy, and he looks like he's playing karate."
3,0,25,,D,"He's like, wapow."
3,0,25,,D,"And he's like, his arm's sticking to the right."
3,0,25,,D,His front leg is out.
3,0,25,,D,"I don't know, he's like..."
3,0,25,,M,"Does his front leg, like, turn back?"
3,0,25,,D,"Yes, but it's like, inward for some reason."
3,0,25,,M,Yeah.
3,0,25,,D,"Like, he's like, bending forward."
3,0,25,x,M,Yeah.
