game,grid,target_position,role,message_id_num,message
16.0,2.0,12.0,describer,29.0,12 is the smaller blob
16.0,3.0,1.0,describer,30.0,1. rabbit
16.0,3.0,2.0,describer,31.0,2. man sitting looking to the left
16.0,3.0,3.0,describer,32.0,3. woman knealing with her arms to the right side
16.0,3.0,4.0,describer,33.0,4. man standing with his arms to the let side
16.0,3.0,5.0,describer,34.0,5. man on one foot with his head to the left side
16.0,3.0,6.0,describer,35.0,6. woman with large boobs witting pointed to the left
16.0,3.0,7.0,describer,36.0,7. woman with small boobs sitting pointed to the left
16.0,3.0,8.0,describer,37.0,8. large blob
16.0,3.0,9.0,describer,38.0,9. man jumping
16.0,3.0,10.0,describer,39.0,10. man on one leg head on right
16.0,3.0,11.0,describer,40.0,11. smaller blob
16.0,3.0,12.0,describer,41.0,12. man praying with his arms to the right
16.0,4.0,1.0,describer,42.0,1 man standing with arms to the left side
16.0,4.0,2.0,describer,43.0,2. man standing on one leg head on left side
16.0,4.0,3.0,describer,44.0,3. woman with large boobs sitting
16.0,4.0,4.0,describer,45.0,4. smaller blob
16.0,4.0,5.0,describer,46.0,5. rabbit
16.0,4.0,6.0,describer,47.0,6. larger blob
16.0,4.0,7.0,describer,48.0,7. man knealing praying with his arms on the right
16.0,4.0,8.0,describer,49.0,8. a man sitting on the groun completely
16.0,4.0,9.0,describer,50.0,9. a woman sitting on the ground
16.0,4.0,10.0,describer,51.0,10. a man jumping
16.0,4.0,11.0,describer,52.0,11. a man standing on one leg with his head to the right
16.0,4.0,12.0,describer,53.0,"12. a woman praying with her arms on the right side, she has a spike on her back"
16.0,5.0,1.0,describer,54.0,1. rabbit
16.0,5.0,2.0,describer,55.0,2. man knealing hands on right side
16.0,5.0,3.0,describer,56.0,3. man on one foot head on right side
16.0,5.0,4.0,describer,57.0,4. woman sitting on ground with small boobs
16.0,5.0,5.0,describer,58.0,5. woman sitting on groud with big boobs
16.0,5.0,6.0,describer,59.0,6. man sitting on the ground
16.0,5.0,7.0,describer,60.0,7. small blob
16.0,5.0,8.0,describer,61.0,8. man on one league with head pointed ot the right
16.0,5.0,9.0,describer,62.0,9. man jumping
16.0,5.0,10.0,describer,63.0,10. large blob
16.0,5.0,11.0,describer,64.0,11. man standing with arms to the left side
16.0,5.0,12.0,describer,65.0,12. woman praying that is on her knees
16.0,6.0,1.0,describer,66.0,1. man knealing praying with arms on right
16.0,6.0,2.0,describer,67.0,2. rabbit
16.0,6.0,3.0,describer,68.0,3. large blob
16.0,6.0,4.0,describer,69.0,4. man jumping
16.0,6.0,5.0,describer,70.0,"5. small blob, it has a point top"
16.0,6.0,6.0,describer,71.0,6. man standing with arms pointed to the left
16.0,6.0,7.0,describer,72.0,7. man on one leg head on the right
16.0,6.0,8.0,describer,73.0,8. woman knealing with her arms out
16.0,6.0,9.0,describer,74.0,9. woman with large boobs sitting down
16.0,6.0,10.0,describer,75.0,"10, skinner woman with small bobos skitting down"
16.0,6.0,11.0,describer,76.0,11. man on one leg with head to the left
16.0,6.0,12.0,describer,77.0,12. man sitting down pointed to the left
16.0,6.0,1.0,describer,78.0,?
59.0,1.0,1.0,describer,79.0,"#1 standing on one foot, other foot pointed right"
59.0,1.0,2.0,describer,80.0,#2 head pointed NW
59.0,1.0,3.0,describer,81.0,#3 PASS
59.0,1.0,4.0,describer,82.0,# 4 PASS (hard to describe sorry)
59.0,1.0,5.0,describer,83.0,"#5 head pointed NW, both hands slanted"
59.0,1.0,2.0,matcher,84.0,"dont feel bad, they are hard. i cant figure #2"
59.0,1.0,6.0,describer,85.0,#6 kneeling sort of
59.0,1.0,2.0,describer,86.0,"#2 to add to that, dance-like, one foot lifted"
59.0,1.0,7.0,describer,87.0,#7 Preacher stance(lol) facing west
59.0,1.0,8.0,describer,88.0,#8 Bunny looking
59.0,1.0,6.0,matcher,89.0,more detail #6? got the others
59.0,1.0,6.0,describer,90.0,#6 the knees are grounded
59.0,1.0,9.0,describer,91.0,#9 PASS
59.0,1.0,10.0,describer,92.0,#10 CANDLE looking
59.0,1.0,11.0,describer,93.0,"#11 head facing right, body pointed left, arms lift same level as head"
59.0,1.0,12.0,describer,94.0,#12 sitting facing left
59.0,1.0,9.0,describer,95.0,#9 ducky looking
59.0,1.0,4.0,describer,96.0,#4 kneeling facing right
59.0,1.0,3.0,describer,97.0,#3 also facing right
59.0,1.0,3.0,describer,98.0,but more manly looking
59.0,1.0,1.0,matcher,99.0,"1, ice skting,"
59.0,1.0,2.0,matcher,99.0,"2 kicking left,"
59.0,1.0,3.0,matcher,99.0,"3 blob? no arms facing right,"
59.0,1.0,4.0,matcher,99.0,"4 angel praying?,"
59.0,1.0,5.0,matcher,100.0,"5 leaning left,"
59.0,1.0,6.0,matcher,100.0,"6 kneeling boobs,"
59.0,1.0,7.0,matcher,100.0,"7 preacher left pointing,"
59.0,1.0,8.0,matcher,100.0,"8 bunny,"
59.0,1.0,9.0,matcher,100.0,9 blob disoriented shape
59.0,1.0,9.0,describer,101.0,"correct,"
59.0,1.0,2.0,describer,101.0,# 2 is dance like
59.0,1.0,10.0,matcher,102.0,"10 candle, one aarm point"
59.0,1.0,10.0,describer,102.0,"right,"
59.0,1.0,11.0,matcher,102.0,11 point
59.0,1.0,11.0,describer,102.0,"right kneel kinda,"
59.0,1.0,12.0,matcher,102.0,12 sitting left
59.0,1.0,12.0,describer,103.0,Yeah I think we're good
59.0,2.0,6.0,matcher,104.0,6 correct lol
59.0,2.0,6.0,describer,105.0,haha
59.0,2.0,3.0,matcher,106.0,lets try again
59.0,2.0,3.0,matcher,107.0,where is preacher?
59.0,2.0,3.0,describer,108.0,3.0
59.0,2.0,7.0,matcher,109.0,bunny?
59.0,2.0,7.0,describer,110.0,bunny #7
59.0,2.0,8.0,describer,111.0,candle 8
59.0,2.0,2.0,matcher,112.0,sitting?
59.0,2.0,2.0,describer,113.0,2.0
59.0,2.0,9.0,matcher,114.0,ice skating
59.0,2.0,9.0,describer,115.0,skating 9
59.0,2.0,10.0,describer,116.0,you see the one that look like a duck? it 10
59.0,2.0,10.0,matcher,117.0,"no, dont know duck"
59.0,2.0,7.0,matcher,118.0,is bunny sitting against left wall?
59.0,2.0,7.0,describer,119.0,"kind of has a pointed tail loooking, not that the bunny"
59.0,2.0,10.0,describer,120.0,the duck is facing left
59.0,2.0,10.0,describer,121.0,no* bunny is different
59.0,2.0,12.0,describer,122.0,shadow is 12
59.0,2.0,12.0,describer,123.0,shadow ( arm up in the air around head)
59.0,2.0,12.0,matcher,124.0,got shadow
59.0,2.0,6.0,describer,125.0,6 lady kneeling
59.0,2.0,5.0,matcher,126.0,where is guy kneeling?
59.0,2.0,5.0,describer,127.0,5 zigzag kneeling
59.0,2.0,5.0,matcher,128.0,got it
59.0,2.0,5.0,describer,129.0,(zigzag = guy I guess)
59.0,2.0,11.0,matcher,130.0,10 angel?
59.0,2.0,11.0,describer,131.0,11 angel
59.0,2.0,10.0,describer,132.0,duck 10
59.0,2.0,10.0,matcher,133.0,okay i think i got duck- no arms
59.0,2.0,11.0,describer,134.0,"(angel for me, is kneeling with head mid height)"
59.0,2.0,11.0,describer,135.0,haha yep
59.0,2.0,11.0,matcher,136.0,"yep, correct on angel"
59.0,2.0,11.0,describer,137.0,that's everything
59.0,3.0,1.0,matcher,138.0,much better
59.0,3.0,1.0,describer,139.0,indeed
59.0,3.0,1.0,describer,140.0,shadow 1
59.0,3.0,2.0,describer,141.0,lady kneeling 2
59.0,3.0,4.0,describer,142.0,4 candle
59.0,3.0,5.0,describer,143.0,5 duck no arm
59.0,3.0,6.0,describer,144.0,6 preacher
59.0,3.0,7.0,describer,145.0,7 angel
59.0,3.0,8.0,describer,146.0,8 skating
59.0,3.0,9.0,describer,147.0,sitting 9
59.0,3.0,11.0,describer,148.0,bunny 11
59.0,3.0,12.0,describer,149.0,12 zigzag
59.0,3.0,12.0,matcher,150.0,dacing?
59.0,3.0,3.0,describer,151.0,3 eccentric standing
59.0,3.0,3.0,describer,152.0,that might be the dancing lol
59.0,3.0,3.0,matcher,153.0,"haha, okay"
59.0,3.0,10.0,matcher,154.0,10 is mess of shapes then?
59.0,3.0,10.0,describer,155.0,10 sitting
59.0,3.0,9.0,describer,156.0,9 mess of shape I guess
59.0,3.0,9.0,matcher,157.0,k got it
59.0,4.0,1.0,describer,158.0,great jon
59.0,4.0,1.0,describer,159.0,job*
59.0,4.0,1.0,matcher,160.0,now we've got it
59.0,4.0,1.0,describer,161.0,1 eccentric sntading
59.0,4.0,2.0,describer,162.0,2 prech
59.0,4.0,3.0,describer,163.0,3 mess
59.0,4.0,4.0,describer,164.0,4 angel
59.0,4.0,5.0,describer,165.0,bunny
59.0,4.0,6.0,describer,166.0,skating
59.0,4.0,7.0,describer,167.0,7 zigzag
59.0,4.0,8.0,describer,168.0,8 lady kneeling
59.0,4.0,9.0,describer,169.0,9 duck
59.0,4.0,10.0,describer,170.0,10 sitting
59.0,4.0,11.0,describer,171.0,shadwo
59.0,4.0,12.0,describer,172.0,candle
59.0,5.0,1.0,describer,173.0,"sktaing,"
59.0,5.0,2.0,describer,173.0,"eccentric stnding,"
59.0,5.0,3.0,describer,173.0,"shdow,"
59.0,5.0,4.0,describer,173.0,bunny
59.0,5.0,6.0,describer,173.0,candle
59.0,5.0,7.0,describer,174.0,"zigzag,"
59.0,5.0,8.0,describer,174.0,"duck,"
59.0,5.0,9.0,describer,174.0,"angel,"
59.0,5.0,10.0,describer,174.0,"sitting,"
59.0,5.0,11.0,describer,174.0,"precher,"
59.0,5.0,12.0,describer,174.0,lady kneel
59.0,5.0,5.0,describer,175.0,"missing 5, mess of shapes"
59.0,5.0,1.0,matcher,176.0,"skae,"
59.0,5.0,2.0,matcher,176.0,"dance,"
59.0,5.0,3.0,matcher,176.0,"shadow,"
59.0,5.0,4.0,matcher,176.0,bunny
59.0,5.0,5.0,matcher,177.0,then?
59.0,5.0,5.0,describer,178.0,"mess 5,"
59.0,5.0,6.0,describer,178.0,6 candle
59.0,6.0,1.0,describer,179.0,"skting,"
59.0,6.0,2.0,describer,179.0,"bunny,"
59.0,6.0,3.0,describer,179.0,"shadow,"
59.0,6.0,4.0,describer,179.0,"cnadle,"
59.0,6.0,5.0,describer,179.0,"mess, angel"
59.0,6.0,6.0,describer,179.0,angel
59.0,6.0,7.0,describer,180.0,"sititng,"
59.0,6.0,8.0,describer,180.0,"preacher,"
59.0,6.0,9.0,describer,180.0,"lady,"
59.0,6.0,10.0,describer,180.0,"duck,"
59.0,6.0,11.0,describer,180.0,"zigzag, dancing"
59.0,6.0,12.0,describer,180.0,dancing
66.0,1.0,chitchat,matcher,181.0,Hey
66.0,1.0,chitchat,describer,182.0,hi
66.0,1.0,chitchat,matcher,183.0,"this looks tough, lol"
66.0,1.0,chitchat,describer,184.0,it is lol
66.0,1.0,chitchat,matcher,185.0,"ok, tell me what to do"
66.0,1.0,2.0,matcher,186.0,there is one that looks like it's right leg is lifted up in the air behind it -- where is that?
66.0,1.0,2.0,matcher,187.0,"sorry, left leg"
66.0,1.0,2.0,describer,188.0,oh yea thats number 2
66.0,1.0,2.0,describer,189.0,top left right in front of #1
66.0,1.0,7.0,matcher,190.0,"ok, how bout the one looks like it is falling backwards?"
66.0,1.0,1.0,describer,191.0,my #1 has someone with two arms wide open leaning to the left
66.0,1.0,1.0,describer,192.0,thats my #4
66.0,1.0,8.0,describer,193.0,Someone sitting with legs in front of them is my number 8
66.0,1.0,1.0,matcher,194.0,"hold, looking for #1"
66.0,1.0,1.0,describer,195.0,ok
66.0,1.0,8.0,matcher,196.0,does the sitting one (8) have visible arms?
66.0,1.0,8.0,describer,197.0,no
66.0,1.0,2.0,matcher,198.0,"ok, how bout the one that looks like it's walking forward with the right leg lifted up in front"
66.0,1.0,2.0,describer,199.0,yes thats my #2
66.0,1.0,2.0,matcher,200.0,I thought the one with the leg lifted in the back was #2
66.0,1.0,2.0,describer,201.0,oh wait
66.0,1.0,2.0,matcher,202.0,lol
66.0,1.0,7.0,describer,203.0,does it look like the person is about to slip backwards?
66.0,1.0,7.0,describer,204.0,if so thats my #7
66.0,1.0,7.0,matcher,205.0,little bit
66.0,1.0,7.0,matcher,206.0,ok
66.0,1.0,12.0,matcher,207.0,"ok, how bout the one with no visible arms and a polygon shape at the bottom right (as you are facing it on the scree)"
66.0,1.0,12.0,describer,208.0,yes thats my #12
66.0,1.0,12.0,describer,209.0,it just looks like a shape
66.0,1.0,12.0,describer,210.0,doesnt have a head
66.0,1.0,12.0,describer,211.0,it has a triangle shape at the bottom
66.0,1.0,5.0,matcher,212.0,and the one that looks like it is either kneeling or about to kneel in prayer?
66.0,1.0,5.0,describer,213.0,before it connects to a square shape as the would what be torso
66.0,1.0,5.0,describer,214.0,oh yea
66.0,1.0,5.0,matcher,215.0,got it...
66.0,1.0,5.0,describer,216.0,thats my #5
66.0,1.0,5.0,describer,217.0,"well i have two that are kneeling, #5 is actually kneeling,"
66.0,1.0,6.0,describer,217.0,#6 is getting ready to kneel
66.0,1.0,4.0,matcher,218.0,how about the one who looks like a woman falling with her right arm outstretched to the ground?
66.0,1.0,4.0,describer,219.0,the one that just shows the torso?
66.0,1.0,4.0,describer,220.0,if so thats my #1
66.0,1.0,4.0,matcher,221.0,no
66.0,1.0,4.0,describer,222.0,ok
66.0,1.0,4.0,describer,223.0,thats my #4
66.0,1.0,4.0,matcher,224.0,ok
66.0,1.0,4.0,describer,225.0,the left hand is lower to the ground right hand higher up
66.0,1.0,4.0,matcher,226.0,yeah
66.0,1.0,3.0,matcher,227.0,how about the one who looks like he is pointing at something in front of him?
66.0,1.0,3.0,describer,228.0,#3
66.0,1.0,3.0,matcher,229.0,(pointing to the left as you look at it on the screem
66.0,1.0,3.0,matcher,230.0,l
66.0,1.0,3.0,matcher,231.0,k
66.0,1.0,3.0,describer,232.0,is hand is on the right side pointing forward
66.0,1.0,3.0,matcher,233.0,yes
66.0,1.0,chitchat,matcher,234.0,do you think it's possible to do any more or should I hit submit?
66.0,1.0,chitchat,describer,235.0,we can try a few more
66.0,1.0,11.0,describer,236.0,"did you get the one where the person has the left arm out like they are offering something, almost holding a bowl?"
66.0,1.0,11.0,describer,237.0,thats my #11
66.0,1.0,11.0,matcher,238.0,got it
66.0,1.0,9.0,describer,239.0,theres also one where the person is kneeling and is looking down to her right with her right arm up
66.0,1.0,9.0,describer,240.0,thats #9
66.0,1.0,9.0,matcher,241.0,I think I got that too
66.0,1.0,10.0,describer,242.0,another one is #10 the person is sitting facing forward arms not visible
66.0,1.0,10.0,describer,243.0,ahh ok cool
66.0,1.0,chitchat,describer,244.0,yea you can hit submit sounds good
66.0,1.0,chitchat,matcher,245.0,"ok, got it"
66.0,2.0,chitchat,describer,246.0,very nice
66.0,2.0,chitchat,matcher,247.0,"that wasn't too bad, lol."
66.0,2.0,chitchat,describer,248.0,lol nope not at all great job
66.0,2.0,4.0,matcher,249.0,"ok, arm outstretched with bowl?"
66.0,2.0,4.0,describer,250.0,oh yea
66.0,2.0,4.0,describer,251.0,#4
66.0,2.0,4.0,matcher,252.0,"and the arm is facing left, right?"
66.0,2.0,4.0,describer,253.0,im going to go through them all
66.0,2.0,4.0,describer,254.0,yes
66.0,2.0,4.0,matcher,255.0,k
66.0,2.0,1.0,describer,256.0,"#1, person falling forward"
66.0,2.0,1.0,matcher,257.0,k
66.0,2.0,2.0,describer,258.0,"#2, person doing yoga like pose right back leg behind them with them leaning to the left"
66.0,2.0,2.0,matcher,259.0,k
66.0,2.0,3.0,describer,260.0,"#3, the polygon shape we talked about"
66.0,2.0,3.0,matcher,261.0,k
66.0,2.0,5.0,describer,262.0,"#5, person slipping on ground with left arm closest to the ground"
66.0,2.0,4.0,matcher,263.0,what is #4?
66.0,2.0,4.0,matcher,264.0,"NVM, sorry"
66.0,2.0,6.0,describer,265.0,"#6, person looking at ground looking like they are performing with craft with arms slightly raised"
66.0,2.0,6.0,describer,266.0,person holding bow
66.0,2.0,6.0,describer,267.0,looking left
66.0,2.0,7.0,describer,268.0,"#7, person sitting down with legs to the left, they are facing to the left"
66.0,2.0,8.0,describer,269.0,"#8, person sitting looking forward, no arms are visible"
66.0,2.0,9.0,describer,270.0,#9 person has right arm pointing forward and they are looking forward
66.0,2.0,10.0,describer,271.0,"#10, person is kneeling looking like they are holding bowl facing the right"
66.0,2.0,11.0,describer,272.0,"#11, person is kneeling holding bowl in a somewhat squatted position not fully on their knees facing right"
66.0,2.0,12.0,describer,273.0,"#12, person is about to slip and is facing left side, they are on 1 leg"
66.0,2.0,12.0,matcher,274.0,"ok, i think i got it but am not certain"
66.0,3.0,chitchat,matcher,275.0,oh boy
66.0,3.0,chitchat,describer,276.0,nice
66.0,3.0,chitchat,matcher,277.0,"thanks, i'm kinda disappointed with myself on that one"
66.0,3.0,chitchat,matcher,278.0,"ok, go"
66.0,3.0,chitchat,describer,279.0,"its okay its difficult, better than getting none right"
66.0,3.0,chitchat,describer,280.0,lol
66.0,3.0,1.0,describer,281.0,#1
66.0,3.0,1.0,describer,282.0,person slipping facing right with arms behind them
66.0,3.0,2.0,describer,283.0,"#2, perswon holding bowl styanding up facing left"
66.0,3.0,3.0,describer,284.0,"#3, person on their knees holding bowl facing right"
66.0,3.0,4.0,describer,285.0,"#4, only uppoer body is visible and person looks like they are falling or flying like a ghost facing the left"
66.0,3.0,5.0,describer,286.0,"#5, person is on their left leg only about to slip backwards facing left side"
66.0,3.0,6.0,describer,287.0,"#6, person is doing yoga pose with one leg behind them leaning to the left with arms in front of them"
66.0,3.0,7.0,describer,288.0,"#7, person is sitting down facing forward almost looking depressed, no arms are visible"
66.0,3.0,8.0,describer,289.0,"#8, person is sitting down legs facing left and they are facing left, legs out out stretched"
66.0,3.0,9.0,describer,290.0,"#8, person is on their knees looking down facing the right with their left arm up looking like they are practicing witchcraft"
66.0,3.0,10.0,describer,291.0,"#10, person is sitting facing forward with right arm pointing at something"
66.0,3.0,11.0,describer,292.0,"#11, the polygon shape"
66.0,3.0,12.0,describer,293.0,"#12, person is holding bowl getting ready to kneel on their knees facing the right"
66.0,3.0,11.0,matcher,294.0,to clarify -- where is the one that has two smaller inverted triangles for a head that connect with a square?
66.0,3.0,11.0,describer,295.0,#11
66.0,3.0,11.0,describer,296.0,and triangle as body
66.0,3.0,11.0,matcher,297.0,"ok, that's not the one i thought was the polygon, lol"
66.0,3.0,chitchat,matcher,298.0,let's submit and see how we did
66.0,4.0,chitchat,matcher,299.0,nice
66.0,4.0,chitchat,describer,300.0,not bad at all!
66.0,4.0,chitchat,describer,301.0,okay here we go
66.0,4.0,chitchat,matcher,302.0,k
66.0,4.0,1.0,describer,303.0,"#1, person facing forward pointing at something with right arm"
66.0,4.0,2.0,describer,304.0,"#2, person sitting down legs in front facing to the left"
66.0,4.0,3.0,describer,305.0,"#3, only upper body is visible they are falling forward looks like a ghost"
66.0,4.0,4.0,describer,306.0,"#4, person is on their knees kneeling with bowl facing to the right"
66.0,4.0,5.0,describer,307.0,"#5, the two inverted triangles connected to a square"
66.0,4.0,6.0,describer,308.0,#6person facing forward no arms or legs visible
66.0,4.0,7.0,describer,309.0,"#7, person is standing with bowl facing to the left"
66.0,4.0,8.0,describer,310.0,#8 is yoga post back leg is out arms forward they are facing to the left
66.0,4.0,9.0,describer,311.0,"#9, person is on one leg getting ready to slip backwards"
66.0,4.0,10.0,describer,312.0,"#10, person is on their knees with both arms up looking down about to practice witchcraft"
66.0,4.0,11.0,describer,313.0,#11 person is on their butt with both arms behind them facing to the left
66.0,4.0,11.0,describer,314.0,looks like they just fell
66.0,4.0,11.0,matcher,315.0,"these descriptions are hysterical, lol"
66.0,4.0,12.0,describer,316.0,#12 person kneeling but not on their knees holding bowl facing to the right
66.0,4.0,12.0,describer,317.0,yea
66.0,4.0,chitchat,matcher,318.0,ok let's see; i don't think i did so good
66.0,6.0,chitchat,matcher,319.0,"oh shoot, did i hit submit twice?"
66.0,6.0,chitchat,describer,320.0,idk
66.0,6.0,chitchat,describer,321.0,were we on round #4
66.0,6.0,chitchat,describer,322.0,its okay
66.0,6.0,chitchat,describer,323.0,im going to run through this fast
66.0,6.0,chitchat,matcher,324.0,ok
66.0,6.0,1.0,describer,325.0,#1 two inverted triangles on top of square
66.0,6.0,2.0,describer,326.0,#2 person facing forward no arms or legs visible
66.0,6.0,3.0,describer,327.0,#3 upper bpody facing left falling or flying like a ghost
66.0,6.0,4.0,describer,328.0,"#4, person kneeling with bowl on their knees facing right"
66.0,6.0,5.0,describer,329.0,"#5, person standing holding bowl facing left"
66.0,6.0,6.0,describer,330.0,#6 person just fell both arms behind them facing left
66.0,6.0,7.0,describer,331.0,"#7, person kneeling but not on knees facing right with bowl in their hand"
66.0,6.0,8.0,describer,332.0,"#8, person facing forward with right arm pointing at something"
66.0,6.0,9.0,describer,333.0,"#8, person on knees arms up practicing withcraft facing to the right"
66.0,6.0,10.0,describer,334.0,#10 is yoga pose one leg up behind them leaning to the left
66.0,6.0,11.0,describer,335.0,#11person sitting with legs stretched out looking depressed facing to the left
66.0,6.0,12.0,describer,336.0,#12 one leg up person is about to slip person is facing to the left
66.0,6.0,12.0,matcher,337.0,got it
71.0,1.0,chitchat,matcher,338.0,hey
71.0,1.0,1.0,describer,339.0,hi ok let's see if we can find a easy/simple way to do this. in my square one I have a tangram with a block on its corner at the top and then underneath it there is a tall rectangle shape with a square coming off of it to the left that has a small pointed corner at the top left
71.0,1.0,1.0,describer,340.0,let me know if I can clarify more
71.0,1.0,1.0,matcher,341.0,is it taller or shorter than average?
71.0,1.0,1.0,describer,342.0,its one of the tall ones. i see three tall ones with squares as the 'head'
71.0,1.0,1.0,matcher,343.0,I think I got it
71.0,1.0,2.0,describer,344.0,ok cool second one looks like a person with a robe on that is bent at the knees and they have a triangle-ish thing out to the right that could look like they're pointing at something
71.0,1.0,2.0,describer,345.0,knees bent to the right as well
71.0,1.0,2.0,matcher,346.0,got it
71.0,1.0,3.0,describer,347.0,3- looks like a person standing on one leg with another leg pointed to the right
71.0,1.0,3.0,describer,348.0,two arms pointing to left
71.0,1.0,3.0,matcher,349.0,got it
71.0,1.0,4.0,describer,350.0,ok 4- pretty much a rectangle bottom with a little missing on the right side and then just tilted square on top
71.0,1.0,4.0,matcher,351.0,got it
71.0,1.0,5.0,describer,352.0,5- looks like a person sitting/leaning against a wall. 'head' looks like it has bunny ears
71.0,1.0,5.0,describer,353.0,back/flat part is on the left
71.0,1.0,4.0,matcher,354.0,"does 4 look pretty similar to 1? I think I have 4 right, not sure about 1"
71.0,1.0,1.0,matcher,354.0,not sure about 1
71.0,1.0,1.0,describer,355.0,no 1 looks nothing like 4
71.0,1.0,5.0,matcher,356.0,got 5
71.0,1.0,1.0,matcher,357.0,"ok, maybe go back to 1 at the end"
71.0,1.0,1.0,describer,358.0,ok sound sgood
71.0,1.0,6.0,describer,359.0,"6- tilted square on top, bottom part is a rectangle main body but the bottom is missing some on the left and that pushes out on the right if that make sense"
71.0,1.0,6.0,describer,360.0,like a tube of toothpaste sorta
71.0,1.0,6.0,matcher,361.0,"got it, thats what I had as 1"
71.0,1.0,8.0,describer,362.0,8 looks like a falling person with their hands in the air
71.0,1.0,7.0,describer,363.0,ill go back to 7
71.0,1.0,8.0,matcher,364.0,does 8 look like a Y with a square in the middle?
71.0,1.0,8.0,describer,365.0,yes
71.0,1.0,8.0,matcher,366.0,got 8
71.0,1.0,12.0,describer,367.0,"ok 12 is easy so ill go to that, looks like person sitting. they are leaned against the right side and their feet are off to the left"
71.0,1.0,12.0,matcher,368.0,got it
71.0,1.0,11.0,matcher,369.0,one remaining looks like a bird with one foot off the ground and carrying a flag - make sense at all?
71.0,1.0,11.0,describer,370.0,"k 11 has a square in the top right hand corner and its sorta falling off the body. it has two legs, the one leg is touching the ground one is in the air"
71.0,1.0,11.0,describer,371.0,i think that what you described is my 11
71.0,1.0,11.0,matcher,372.0,got 11
71.0,1.0,1.0,matcher,373.0,one looks like a person wearing a robe with their hand pointing left?
71.0,1.0,1.0,describer,374.0,that is 1 for me
71.0,1.0,1.0,matcher,375.0,k
71.0,1.0,9.0,describer,376.0,9 looks like a person on their knees pointing to the right
71.0,1.0,9.0,matcher,377.0,got 9
71.0,1.0,7.0,describer,378.0,so 7 has its spot correct based on what you have left
71.0,1.0,7.0,describer,379.0,ok you submit correct?
71.0,1.0,10.0,matcher,380.0,we forgot 10
71.0,1.0,10.0,matcher,381.0,either 7 or 10 kind of looks like a tree stump?
71.0,1.0,10.0,describer,382.0,oh my bad. 10 has a tilted square at the top and then a triangle hanging off of it to the right
71.0,1.0,10.0,describer,383.0,10 would be the most tree stumpy to me
71.0,1.0,chitchat,matcher,384.0,submitting...
71.0,2.0,chitchat,matcher,385.0,bam
71.0,2.0,chitchat,describer,386.0,nice!
71.0,2.0,chitchat,describer,387.0,ok so easier now I hope because we know the general idea of how they look
71.0,2.0,3.0,describer,388.0,3 is tree stump from last time
71.0,2.0,12.0,describer,389.0,12 is person with bunny ears
71.0,2.0,3.0,matcher,390.0,got 3
71.0,2.0,12.0,matcher,391.0,got 12
71.0,2.0,7.0,describer,392.0,7 is the y with the block in the middle
71.0,2.0,8.0,describer,393.0,8 personw earing robe pointing to left
71.0,2.0,7.0,matcher,394.0,got 7
71.0,2.0,10.0,describer,395.0,10 is bird with flag
71.0,2.0,6.0,describer,396.0,"6 is what our 7 was last time, the weird random one left"
71.0,2.0,11.0,describer,397.0,11- person leaning against right wall with legs pointed to left
71.0,2.0,2.0,describer,398.0,2- tube of toothpaste
71.0,2.0,1.0,describer,399.0,1- person on knees
71.0,2.0,9.0,describer,400.0,9- person leaning to left standing on one leg
71.0,2.0,9.0,matcher,401.0,got all those
