game,grid,targetPosition_w,role,message_id_num,message_part_no,message
1,1,7,matcher,26,1,Ah einer nach oben und einer nach unten
1,1,5,matcher,26,2,und die 5 wäre dann das wo beide Arme so nach oben sind mit so einem viereckigen Köpfchen? ist das das?
1,1,5.0,describer,27,NA,5 da liegt jemand am Boden. Nein nein die 5 28
1,1,5.0,describer,28,NA,und mit den Armen äh nein die Beine nach oben
1,1,5.0,matcher,29,NA,Ja
1,1,5.0,describer,30,NA,Ist gut?
1,1,5.0,matcher,31,NA,Ja
1,1,5.0,describer,32,NA,o.k.
1,2,1,describer,33,1,Also die 1 ist das Männchen das beide Arme auf die Seite raus streckt.
1,2,2,describer,33,2,Die 2 ist
1,2,2.0,matcher,34,NA,waagerecht?
1,2,2.0,describer,35,NA,Jawohl Ja genau
1,2,2.0,matcher,36,NA,Das wie ein Trapez aussieht
1,2,2.0,describer,37,NA,Ja. Die 2 ist ein Männchen das sitzt und so als ob es Rumpfbeugen machen würde
1,2,2.0,matcher,38,NA,Ja
1,2,3.0,describer,39,NA,Die 3 ist das Männchen das liegt und die Beine in die Luft  gestreckt werden
1,2,3.0,matcher,40,NA,ja
1,2,4.0,describer,41,NA,Die 4 ist der Eiskunstläufer
1,2,4.0,matcher,42,NA,Ja
1,2,5.0,describer,43,NA,Die 5 ist das Männchen das ein Arm nach oben und ein Arm nach unten hält
1,2,5.0,matcher,44,NA,Ja
1,2,6.0,describer,45,NA,Die 6 ist das gebückte Männchen 47  M Ja
1,2,7.0,describer,46,NA,Die 7 ist der der betet mit der Schüssel in der Hand
1,2,7.0,matcher,47,NA,Ja ja
1,2,8.0,describer,48,NA,Und die 8 ist eben der Basketballspieler 0.k
1,2,8.0,matcher,49,NA,ja ja
1,3,1.0,describer,50,NA,Also 1 Rumpfbeuge
1,3,1.0,matcher,51,NA,Mhm
1,3,2.0,describer,52,NA,2 gebückt
1,3,2.0,matcher,53,NA,Ja
1,3,3.0,describer,54,NA,3 liegend am Boden
1,3,3.0,matcher,55,NA,Ja
1,3,4.0,describer,56,NA,4 Eiskunstläufer
1,3,4.0,matcher,57,NA,Ja
1,3,5.0,describer,58,NA,Die 5 das Trapezmännchen
1,3,5.0,matcher,59,NA,Ja
1,3,6.0,describer,60,NA,Die 6 Priester
1,3,6.0,matcher,61,NA,Ja
1,3,7,describer,62,1,7 der Basketballer
1,3,8,describer,62,2,und die 8 der Aerobiktänzer
1,3,8.0,matcher,63,NA,Ja. Ok.
1,4,1.0,describer,64,NA,1 Basktballspieler
1,4,1.0,matcher,65,NA,Ja
1,4,2.0,describer,66,NA,2 Trapezmännchen
1,4,2.0,matcher,67,NA,Ja
1,4,3.0,describer,68,NA,3 Rumpfbeuge
1,4,3.0,matcher,69,NA,Ja
1,4,4.0,describer,70,NA,4 der Liegende
1,4,4.0,matcher,71,NA,Ja
1,4,5.0,describer,72,NA,5 der Gebückte
1,4,5.0,matcher,73,NA,Ja
1,4,6.0,describer,74,NA,6 der Basketballer oh äh habe ich das schon einmal gehabt?
1,4,1.0,matcher,75,NA,Ja beim 1
1,4,1.0,describer,76,NA,Oh shit nein 1 ist in dem Fall der der ein Arm hoch und ein Arm runter hält sorry
1,4,1.0,matcher,77,NA,Ist jetzt bei der 6?
1,4,1,describer,78,1,Nein das ist die 1
1,4,6,describer,78,2,die 6 ist der der Basketballspieler
1,4,1.0,matcher,79,NA,ist die 1 o.k.
1,4,7,describer,80,1,7 ist der der betet
1,4,8,describer,80,2,8 ist der Eiskunstläufer
1,4,8.0,matcher,81,NA,o.k.
1,5,1,describer,82,1,o.k. 1 der der gebückt ist.
1,5,2,describer,82,2,2 der Liegende.
1,5,3,describer,82,3,3 der Eiskunstläufer.
1,5,4,describer,82,4,4 der Trapezmann.
1,5,5,describer,82,5,5 der Basketballer.
1,5,6,describer,82,6,6 der Priester
1,5,6.0,matcher,83,NA,Mhm
1,5,7,describer,84,1,7 der Aerobiktänzer.
1,5,8,describer,84,2,Und 8 der mit den Beinen
1,5,8.0,matcher,85,NA,o.k.
1,6,1.0,describer,86,NA,1 Aerobiktänzer
1,6,1.0,matcher,87,NA,Ja
1,6,2.0,describer,88,NA,2 Trapezmännchen
1,6,2.0,matcher,89,NA,Ja
1,6,3.0,describer,90,NA,3 Rumpfbeuge
1,6,3.0,matcher,91,NA,Ja
1,6,4.0,describer,92,NA,4 liegend
1,6,4.0,matcher,93,NA,Ja
1,6,5.0,describer,94,NA,5 gebückt
1,6,5.0,matcher,95,NA,Ja
1,6,6.0,describer,96,NA,6 Basketball
1,6,6.0,matcher,97,NA,Ja
1,6,7.0,describer,98,NA,7 betend
1,6,7.0,matcher,99,NA,Ja
1,6,8.0,describer,100,NA,8 Eiskunstläufer
1,6,8.0,matcher,101,NA,o.k.
1,7,1.0,describer,102,NA,o.k. 1 ein Basketballspieler der der mit dem Ball prellt. Hat das Bein hinten rauf
1,7,1.0,matcher,103,NA,Mhm hinten rauf ?
1,7,1.0,describer,104,NA,Hinten rauf und eigentlich mehr vorne rüber also also
1,7,1.0,matcher,105,NA,Ja
1,7,2.0,describer,106,NA,2 das ist auch wieder ein Trapezmännchen einfach mit zwei kleinen Trapezen
1,7,2.0,matcher,107,NA,Ja
1,7,3,describer,108,1,3 liegt am Boden hat beide Füsse nach oben
1,7,4,describer,108,2,4 der Aerobiktänzer
1,7,4.0,matcher,109,NA,Ja
1,7,5.0,describer,110,NA,5
1,7,4.0,matcher,111,NA,also Aerobiktänzer der der
1,7,4.0,describer,112,NA,Ein Arm nach oben der andere nach unten und ein Bein so auf die Seite
1,7,4.0,matcher,113,NA,So das es eine Diagonale gibt?
1,7,4.0,describer,114,NA,Ja genau
1,7,4.0,matcher,115,NA,Ja
1,7,5.0,describer,116,NA,5 gebückt.
1,7,5.0,matcher,117,NA,Ja
1,7,6.0,describer,118,NA,6  ähm 6 ich weiss nicht was der hat ähm ein ein Bein in der Luft und und beide Arme so also
1,7,6.0,matcher,119,NA,Also ein Arm weiter oben so runter hängend so komisch
1,7,6.0,describer,120,NA,Ja also so was gibt es gar nicht  ja
1,7,6.0,matcher,121,NA,ja  ja
1,7,6,describer,122,1,Ist glaube ich leicht körperbehindert ich sag mal so.
1,7,3,describer,122,2,3 am Boden liegend also Boden liegend SITZEND aufrechter Körper aber
1,7,3.0,matcher,123,NA,ja sitzend ja
1,7,8.0,describer,124,NA,4 äh 8 der Priester
1,7,8.0,matcher,125,NA,o.k.
1,8,1.0,describer,126,NA,1 das Männchen das liegt
1,8,1.0,matcher,127,NA,Ja
1,8,2.0,describer,128,NA,2 das Trapezmännchen
1,8,2.0,matcher,129,NA,Ja
1,8,3.0,describer,130,NA,3 der Priester
1,8,3.0,matcher,131,NA,Ja
1,8,4.0,describer,132,NA,4 der der prellen tut
1,8,4.0,matcher,133,NA,Ja
1,8,5.0,describer,134,NA,5 der der die Diagonale hat aber
1,8,5.0,matcher,135,NA,Ja
1,8,6.0,describer,136,NA,6 der der so gebückt läuft mit dem gestreckten
1,8,6.0,matcher,137,NA,ja mhm
1,8,7.0,describer,138,NA,7 der Behinderte
1,8,7.0,matcher,139,NA,Ja
1,8,8.0,describer,140,NA,Und 8 das Marienmännchen
1,8,8.0,matcher,141,NA,o.k.
1,9,1.0,describer,142,NA,1Trapez
1,9,1.0,matcher,143,NA,Ja
1,9,2.0,describer,144,NA,2 der Liegende
1,9,2.0,matcher,145,NA,Ja
1,9,3,describer,146,1,3 der aufrecht Sitzende.
1,9,4,describer,146,2,4 der Priester
1,9,4.0,matcher,147,NA,Ja
1,9,5.0,describer,148,NA,5 der der. der Preller
1,9,5.0,matcher,149,NA,Ja
1,9,6.0,describer,150,NA,6 der Behinderte
1,9,6.0,matcher,151,NA,Ja
1,9,7.0,describer,152,NA,7 der Diagonale
1,9,7.0,matcher,153,NA,Ja
1,9,8.0,describer,154,NA,Und 8 der alte
1,9,8.0,matcher,155,NA,o.k.
1,10,1.0,describer,156,NA,1 das Marienmännchen
1,10,1.0,matcher,157,NA,Ja
1,10,2.0,describer,158,NA,Die 2 der Behinderte
1,10,2.0,matcher,159,NA,Ja
1,10,3.0,describer,160,NA,3 das gebückte Männchen da das
1,10,3.0,matcher,161,NA,Ja das vorne runter ja genau
1,10,4,describer,162,1,Ja äh die 4 ist der Basketball Preller da.
1,10,5,describer,162,2,Die 5 äh ist das diagonale Männchen
1,10,5.0,matcher,163,NA,ja mhm
1,10,6.0,describer,164,NA,6 ist der Priester
1,10,6.0,matcher,165,NA,Mhm
1,10,7.0,describer,166,NA,Die 7 das Trapezmännchen
1,10,7.0,matcher,167,NA,Mhm
1,10,8.0,describer,168,NA,Und die 8 liegend
1,10,8.0,matcher,169,NA,Mhm. O.k.
1,11,1.0,describer,170,NA,1 der Diagonale
1,11,1.0,matcher,171,NA,Mhm
1,11,2.0,describer,172,NA,2 der Alte
1,11,2.0,matcher,173,NA,Ja
1,11,3.0,describer,174,NA,3 der liegende
1,11,3.0,matcher,175,NA,Ja
1,11,4.0,describer,176,NA,4 der Priester
1,11,4.0,matcher,177,NA,Ja
1,11,5.0,describer,178,NA,5 das Trapezmännchen
1,11,5.0,matcher,179,NA,Ja
1,11,6.0,describer,180,NA,6 der Behinderte
1,11,6.0,matcher,181,NA,Ja
1,11,7.0,describer,182,NA,7  der aufrecht Sitzende
1,11,7.0,matcher,183,NA,Ja
1,11,8.0,describer,184,NA,8 der Preller
1,11,8.0,matcher,185,NA,o.k.
1,12,1.0,describer,186,NA,1 liegend
1,12,1.0,matcher,187,NA,Ja
1,12,2.0,describer,188,NA,2 der Alte
1,12,2.0,matcher,189,NA,ja
1,12,3.0,describer,190,NA,3 der prellende
1,12,3.0,matcher,191,NA,Ja
1,12,4.0,describer,192,NA,4 der Behinderte
1,12,4.0,matcher,193,NA,Ja
1,12,5.0,describer,194,NA,5 der Priester
1,12,5.0,matcher,195,NA,Ja
1,12,6.0,describer,196,NA,6 die Maria
1,12,6.0,matcher,197,NA,ja
1,12,7.0,describer,198,NA,7 das Trapezmännchen
1,12,7.0,matcher,199,NA,Ja
1,12,8.0,describer,200,NA,Und 8 der Diagonale
1,12,8.0,matcher,201,NA,o.k.
2,1,chitchat,describer,202,NA,ich habe jetzt die 8 Bilder vor mir
2,1,chitchat,matcher,203,NA,mhm
2,1,1.0,describer,204,NA,und ich fange mit dem ersten Bild an
2,1,1.0,matcher,205,NA,mhm
2,1,1.0,describer,206,NA,oeh. wenn ich jetzt. bildhaft sprechen würde sieht es aus wie eine Ballettdanseuse. oeh und sie steht auf einem Bein und schaut nach links
2,1,1.0,matcher,207,NA,und. sie streckt das zweite Bein in die- nach hinten
2,1,1.0,describer,208,NA,mhja horizontal hinaus
2,1,1.0,matcher,209,NA,ja
2,1,1.0,describer,210,NA,und. horizontal ist ein Triangel
2,1,1.0,matcher,211,NA,ja ist gut
2,1,1,describer,212,1,ist gut okay.
2,1,2,describer,212,2,Bild Nummer 2. ich spreche wieder in bildhafter Sprache
2,1,2.0,matcher,213,NA,mhm
2,1,2.0,describer,214,NA,das ist ein Clown. er steht auf einer Fuss und streckt oeh das andere Bein ein wenig vorwärts
2,1,2.0,matcher,215,NA,und sein Kopf ist ein. oeh es sind alle Köpfe mh
2,1,2.0,describer,216,NA,zwei Gipfelis  wie zwei Zacken
2,1,2.0,matcher,217,NA,ja
2,1,2.0,describer,218,NA,und auf sein Buckel trägt er noch mh ein Quadrat
2,1,2.0,matcher,219,NA,ein. okay. gut
2,1,3.0,describer,220,NA,und die Nummer 3 das ist auch ein Figur ein Mann. tanzend. oeh wie eine Niki Saint de Phaller Figur. streckt oeh. die Hand hoch in der Luft.
2,1,3.0,matcher,221,NA,mhm
2,1,3.0,describer,222,NA,und das Kopf ist wieder ein. Quadrat.
2,1,3,describer,223,1,aber steht.
2,1,3,matcher,223,2,mh wie sagt man dem
2,1,3.0,matcher,224,NA,springt. er sieht ja aus als ob er sp- in die in die Luft springen würde
2,1,3.0,describer,225,NA,genau
2,1,3.0,matcher,226,NA,okay
2,1,4.0,describer,227,NA,vierte Figur. das ist ein betender Mann. er hebt. in der Hand
2,1,4.0,matcher,228,NA,einen Kelch
2,1,4.0,describer,229,NA,genau
2,1,4.0,matcher,230,NA,ja
2,1,5.0,describer,231,NA,und. Nummer 5 das ist eine alte Frau die sich hinunter bückt. sie pickt etwas auf.
2,1,5.0,matcher,232,NA,ja
2,1,6.0,describer,233,NA,Nummer 6. das ist jemand der auf der Strasse sitzt.
2,1,6.0,matcher,234,NA,mit angewinkelten Knien
2,1,6.0,describer,235,NA,genau
2,1,6.0,matcher,236,NA,ja
2,1,7.0,describer,237,NA,7. da spielt jemand mit einem Fussball
2,1,7.0,matcher,238,NA,ja ist gut
2,1,8.0,describer,239,NA,und 8
2,1,8.0,matcher,240,NA,ja
2,2,1.0,describer,241,NA,Nummer 1 ist der Clown
2,2,1.0,matcher,242,NA,ja
2,2,2.0,describer,243,NA,2 die alte Frau die sich bückt
2,2,2.0,matcher,244,NA,jawohl
2,2,3.0,describer,245,NA,3 mh. sieht aus wie mh. Chris- Christus so
2,2,3.0,matcher,246,NA,jawohl
2,2,3,describer,247,1,ein bisschen.
2,2,4,describer,247,2,4 ist die Ballett Balletttänzer.
2,2,4.0,matcher,248,NA,auf einem Bein
2,2,4.0,describer,249,NA,ja
2,2,4.0,matcher,250,NA,ja okay
2,2,5.0,describer,251,NA,5 ist der betende Mann mit dem Kelch
2,2,5.0,matcher,252,NA,okay
2,2,6.0,describer,253,NA,6 ist der. es sieht aus wie wenn jemand in die Luft springt
2,2,6.0,matcher,254,NA,jawohl
2,2,7.0,describer,255,NA,7 ist jemand auf- mit der angewinkelten Knien auf der Strasse sitzt
2,2,7.0,matcher,256,NA,ja
2,2,8.0,describer,257,NA,und 8 ist der F- mit dem Fussball spielt
2,2,8.0,matcher,258,NA,okay
2,3,chitchat,matcher,259,NA,"Vp fragt vor dem Beginn, ob es die gleiche Aufgabe ist"
2,3,1.0,describer,260,NA,das erste der Fussballspieler
2,3,1.0,matcher,261,NA,ja
2,3,2.0,describer,262,NA,zweiten. oeh der zweite Bild ist der Clown mit dem Quadrat auf dem Rücken
2,3,2.0,matcher,263,NA,ja
2,3,3.0,describer,264,NA,drittens ist die alte Frau auf der Strasse mit angewinkelten Beine
2,3,3.0,matcher,265,NA,ja
2,3,4.0,describer,266,NA,4 Ballettdanseusin
2,3,4.0,matcher,267,NA,moment mit angewinkelten Beinen oder. die sich bückt?
2,3,4.0,describer,268,NA,nein mit angewinkelten Beine
2,3,4.0,matcher,269,NA,okay
2,3,4.0,describer,270,NA,Beinen  4 die Ballettdanseusin
2,3,4.0,matcher,271,NA,ja
2,3,5.0,describer,272,NA,5. der Clown. hochspringend in der Luft
2,3,5.0,matcher,273,NA,ja
2,3,6.0,describer,274,NA,6 die alte Dame. hinunterbückend
2,3,6.0,matcher,275,NA,ja
2,3,7.0,describer,276,NA,7 Christus
2,3,7.0,matcher,277,NA,mhm
2,3,8.0,describer,278,NA,8 der Pfarrer
2,3,8.0,matcher,279,NA,ja
2,4,1.0,describer,280,NA,Balletttänzerin
2,4,1.0,describer,281,NA,ja?
2,4,1.0,matcher,282,NA,ja nei-  ja jetzt habe ich sie
2,4,2.0,describer,283,NA,okay. jemand der mit dem Fussball spielt
2,4,2.0,matcher,284,NA,ja
2,4,3.0,describer,285,NA,der betende mit dem Kelch
2,4,3.0,matcher,286,NA,jawohl
2,4,4.0,describer,287,NA,die Frau mit den angewinkelten Knien
2,4,4.0,matcher,288,NA,jawohl
2,4,5.0,describer,289,NA,jemand der in die Luft springt
2,4,5.0,matcher,290,NA,jawohl
2,4,6.0,describer,291,NA,jemand der sich bückt
2,4,6.0,matcher,292,NA,jawohl
2,4,7.0,describer,293,NA,Christus
2,4,7.0,matcher,294,NA,ja
2,4,8.0,describer,295,NA,und der Clown
2,4,8.0,matcher,296,NA,okay
2,5,1,describer,297,1,der Clown
2,5,2,describer,297,2,die alte Frau die sich hinunterbückt.
2,5,3,describer,297,3,jemand der betet.
2,5,4,describer,297,4,Christus.
2,5,5,describer,297,5,jemand der in die Luft hinauf hoch springt.
2,5,5.0,matcher,298,NA,ja
2,5,6.0,describer,299,NA,der Fussballspieler.
2,5,6.0,matcher,300,NA,ja
2,5,7.0,describer,301,NA,die alte Dame auf der Strasse
2,5,7.0,matcher,302,NA,ja
2,5,8.0,describer,303,NA,und. die Ballettdanseuse
2,5,8.0,matcher,304,NA,ja
2,6,1.0,describer,305,NA,in die Luft springend
2,6,1.0,matcher,306,NA,ja
2,6,2,describer,307,1,Christus.
2,6,3,describer,307,2,die Tänzerin
2,6,2.0,matcher,308,NA,wart wart wart Christus ja.
2,6,3.0,describer,309,NA,die Tänzerin
2,6,3.0,matcher,310,NA,ja
2,6,4.0,describer,311,NA,jemand der sich bückt
2,6,4.0,matcher,312,NA,ja
2,6,5.0,describer,313,NA,jemand der mit angewinkelten Knien auf der Strasse sitzt
2,6,5.0,matcher,314,NA,jawohl
2,6,6.0,describer,315,NA,fussballspielend
2,6,6.0,matcher,316,NA,jawohl
2,6,7.0,describer,317,NA,der Clown
2,6,7.0,matcher,318,NA,ja
2,6,8.0,describer,319,NA,und jemand der betet
2,6,chitchat,matcher,320,NA,"ja Vp stellt Frage als Kärtchen gesammelt werden, etwa:  Vp: wir werden das nicht eine ganze Stunde machen oder?  VL: das sehen Sie dann"
2,7,1.0,describer,321,NA,ah das sind  die Balletttänzerin. es sind aber eine andere Figur
2,7,1.0,matcher,322,NA,jaa es sind andere. können wir das anders.
2,7,1.0,describer,323,NA,okay. das ist jemand der auf einem Bein steht  streckt ein. Bein. eh horizontal hinaus angewinkelt
2,7,1.0,matcher,324,NA,mh ja
2,7,1.0,describer,325,NA,Kopf ist ein Quadrat
2,7,1.0,matcher,326,NA,ja. das nützt glaube ich nicht so viel. weil mh okay
2,7,1.0,describer,327,NA,ist es nicht in Ordnung?
2,7,1.0,matcher,328,NA,keine Arme?
2,7,1.0,describer,329,NA,oeh d- doch in Form von einer Triangel
2,7,1.0,matcher,330,NA,ja aber. nur das
2,7,1.0,describer,331,NA,ja
2,7,1.0,matcher,332,NA,okay
2,7,2.0,describer,333,NA,und 2 das ist ein Quadrat.  mh was ist für dich einfacher wenn ich die oeh Figuren erkläre oder wenn ich das in einer bildhaften Sprache darstelle
2,7,2.0,matcher,334,NA,bildhaft ist schon gut
2,7,2.0,describer,335,NA,okay.
2,7,2.0,matcher,336,NA,ja
2,7,2.0,describer,337,NA,jemand liegt da jemand liegt auf dem Boden
2,7,2.0,matcher,338,NA,mhm
2,7,2.0,describer,339,NA,oeh 2 Beine. die beiden Beine sind Triangeln
2,7,2.0,matcher,340,NA,in die Luft
2,7,2.0,describer,341,NA,einer ist in der Luft und die andere ist. nicht ganz. äh angeheftet am. Quadrat
2,7,2.0,matcher,342,NA,ja
2,7,3.0,describer,343,NA,oder. ja. 3 ist wieder. diese betende Person
2,7,3.0,matcher,344,NA,ja
2,7,4.0,describer,345,NA,4 ist wieder eine Frau die sich hinunter bückt
2,7,4.0,matcher,346,NA,ja
2,7,5.0,describer,347,NA,5 ist dem Clown ähnlich
2,7,5.0,matcher,348,NA,streckt ein Arm ein Arm. links in die Höhe
2,7,5.0,describer,349,NA,nein
2,7,5.0,matcher,350,NA,nein okay  ich. ja
2,7,5.0,describer,351,NA,ha- hast du's
2,7,5.0,matcher,352,NA,ja ist gut
2,7,6.0,describer,353,NA,6 ist jemand de- jemand der auf der Strasse sitzt. keine Arme
2,7,6.0,matcher,354,NA,ja
2,7,7.0,describer,355,NA,7 ist.  eine vereinfachte Jesus Christus
2,7,7.0,matcher,356,NA,ja
2,7,8.0,describer,357,NA,und 8 ist wieder mh. jemand der hoch springt
2,8,1.0,describer,358,NA,die vereinfachte Jesus Christus Figur
2,8,1.0,matcher,359,NA,ja
2,8,2.0,describer,360,NA,mh. der ähnliche Clown
2,8,2.0,matcher,361,NA,mh. jawohl
2,8,3.0,describer,362,NA,die sich bückende Frau
2,8,3.0,matcher,363,NA,jawohl
2,8,4.0,describer,364,NA,jemand der auf dem Boden liegt und beide Beine in die Luft streckt
2,8,4.0,matcher,365,NA,ja
2,8,5.0,describer,366,NA,mh. die. ähnliche. Tänzerin. ein bisschen ähnlich
2,8,5.0,matcher,367,NA,oehh
2,8,5.0,describer,368,NA,mh ein Bein oeh auf dem Boden und das andere nach hinten ausgestreckt
2,8,5.0,matcher,369,NA,okay
2,8,6.0,describer,370,NA,dann mh  jemand der den r- linken Arm. in die Luft streckt
2,8,6.0,matcher,371,NA,ja
2,8,7.0,describer,372,NA,jemand der auf dem Boden sitzt
2,8,7.0,matcher,373,NA,ja
2,8,8.0,describer,374,NA,und jemand der betet
2,8,8.0,matcher,375,NA,jawohl
2,9,1.0,describer,376,NA,die Person die. liegt. Bei- die Beine streckt sie. in die Luft
2,9,1.0,matcher,377,NA,ja
2,9,2.0,describer,378,NA,die bückende Dame
2,9,2.0,matcher,379,NA,ja
2,9,3.0,describer,380,NA,die betende Person
2,9,3.0,matcher,381,NA,ja
2,9,4.0,describer,382,NA,der Läufer. mit dem Bein horizontal hinaus
2,9,4.0,matcher,383,NA,der Läufer
2,9,4.0,describer,384,NA,ja
2,9,4.0,matcher,385,NA,den du vorher als oeh ähnlich zu der Tänzerin beschrieb
2,9,4.0,describer,386,NA,jawohl  ja stimmt
2,9,4.0,matcher,387,NA,ja okay
2,9,5.0,describer,388,NA,okay. und den. jemand der auf der Strasse sitzt
2,9,5.0,matcher,389,NA,ja
2,9,5.0,describer,390,NA,keine Arme keine Beine.
2,9,5.0,matcher,391,NA,ja
2,9,6.0,describer,392,NA,Jesus Christus
2,9,6.0,matcher,393,NA,ja
2,9,7.0,describer,394,NA,oeh jemand der die Arm. hoch streckt
2,9,7.0,matcher,395,NA,ja
2,9,8.0,describer,396,NA,und dann der Clown
2,9,8.0,matcher,397,NA,ja
2,10,1.0,describer,398,NA,jemand mit dem Kelch
2,10,1.0,matcher,399,NA,ja
2,10,2.0,describer,400,NA,auf der- auf dem Boden liegend mit den Füssen in der Luft
2,10,2.0,matcher,401,NA,ja
2,10,3.0,describer,402,NA,sich bückend
2,10,3.0,matcher,403,NA,jawohl
2,10,4,describer,404,1,mh Christus
2,10,5,describer,404,2,der Läufer
2,10,6,describer,404,3,oder die Tänzerin
2,10,6.0,matcher,405,NA,jawohl
2,10,6.0,describer,406,NA,mit einem Arm in der Luft
2,10,6.0,matcher,407,NA,ja
2,10,7.0,describer,408,NA,der Clown
2,10,7.0,matcher,409,NA,jawohl
2,10,8.0,describer,410,NA,und jemand der sitzt
2,10,8.0,matcher,411,NA,ja
2,11,1,describer,412,1,der Clown.
2,11,2,describer,412,2,liegend auf der Strasse.
2,11,2,describer,412,3,zwei Beine hoch
2,11,2.0,matcher,413,NA,ja
2,11,3,describer,414,1,Christus.
2,11,4,describer,414,2,sitzend.
2,11,5,describer,414,3,bückend.
2,11,6,describer,414,4,hoch springend.
2,11,7,describer,414,5,betend.
2,11,8,describer,414,6,tanzend
2,11,8.0,matcher,415,NA,ja
2,12,chitchat,matcher,416,NA,(eine Vp nicht deutscher Muttersprache)
2,12,1.0,describer,417,NA,bückend
2,12,1.0,matcher,418,NA,ja
2,12,2.0,describer,419,NA,liegend
2,12,2.0,matcher,420,NA,ja
2,12,3.0,describer,421,NA,betend
2,12,3.0,matcher,422,NA,ja
2,12,4.0,describer,423,NA,Christus
2,12,4.0,matcher,424,NA,ja
2,12,5.0,describer,425,NA,tanzend
2,12,5.0,matcher,426,NA,j- ja
2,12,6.0,describer,427,NA,hoch springend
2,12,6.0,matcher,428,NA,ja
2,12,7.0,describer,429,NA,sitzend
2,12,7.0,matcher,430,NA,ja
2,12,8.0,describer,431,NA,und der Clown
2,12,8.0,matcher,432,NA,jawohl
3,1,1,describer,433,1,also fangen wir an mit der 1
3,1,1,matcher,433,1,mhm
3,1,1,describer,433,1,Das ist so ein Typ der sich irgendwie quasi nach rechts so ein bisschen beugt und sich auf seine Hand abstützt und er steht irgendwie auf einem Fuss
3,1,1,matcher,433,2,ja
3,1,1,describer,433,3,hast du es?
3,1,1,matcher,433,4,Ja.
3,1,5.0,describer,434,NA,O.k. jetzt machen wir das 5.  der sieht aus als würde er am Boden liegen und sich irgendwie. oder ja den Kopf so abstützen. Und die Beine hängen in der Luft
3,1,5.0,matcher,435,NA,also wie einer der sich halb zu Tode lacht oder ?
3,1,5.0,describer,436,NA,äh
3,1,5.0,matcher,437,NA,am Boden
3,1,5.0,describer,438,NA,ja
3,1,5.0,matcher,439,NA,o.k.
3,1,5.0,describer,440,NA,kann natürlich auch sein dass er bei dir verkehrt herum ist
3,1,5.0,matcher,441,NA,also er liegt am Boden und hat die Füsse auf die rechte  auf die linke Seite
3,1,5.0,describer,442,NA,ja
3,1,5.0,matcher,443,NA,Und auf die rechte Seiten den Kopf und ein Arm
3,1,5.0,describer,444,NA,ja
3,1,5.0,matcher,445,NA,o.k.
3,1,5.0,describer,446,NA,über dem Arm
3,1,5.0,matcher,447,NA,"Ja, ja"
3,1,5.0,describer,448,NA,o.k.  der sieht gerade so aus als würde er gerade rennen
3,1,5.0,matcher,449,NA,ähm und er rennt nach links so
3,1,5.0,describer,450,NA,nach links. Genau. o.k.
3,1,5.0,matcher,451,NA,-
3,1,8.0,describer,452,NA,ähm. mh. Und jetzt das 8  das sieht so ein wenig nach einer Denkerpose aus . Ja also die Füsse sage ich jetzt einmal schauen nach links
3,1,8.0,matcher,453,NA,Und er sitzt ?
